1126C18R
2024 Oct 08 16:00
Sample #, Measurement
1, 7.998E-4
2, 5.999E-4
3, 3.999E-4
4, -5.999E-4
5, 5.999E-4
6, -3.999E-4
7, -5.999E-4
8, -2.999E-4
9, -7.998E-4
10, -1.700E-3
11, 0.000E+0
12, -2.000E-4
13, 0.000E+0
14, 0.000E+0
15, -9.998E-5
16, -3.999E-4
17, 9.998E-5
18, 6.998E-4
19, 2.000E-4
20, -1.600E-3
21, -7.998E-4
22, 0.000E+0
23, 1.100E-3
24, 1.100E-3
25, 5.999E-4
26, 6.998E-4
27, -7.998E-4
28, -1.300E-3
29, -7.998E-4
30, 4.999E-4
31, 3.999E-4
32, -4.999E-4
33, -2.000E-4
34, -1.100E-3
35, -1.800E-3
36, -1.500E-3
37, -3.999E-4
38, 4.999E-4
39, -2.000E-4
40, -5.999E-4
41, -4.999E-4
42, -7.998E-4
43, 3.999E-4
44, 8.998E-4
45, 9.998E-4
46, 3.999E-4
47, 0.000E+0
48, -5.999E-4
49, -4.999E-4
50, 3.999E-4
51, -4.999E-4
52, -1.400E-3
53, -2.099E-3
