1126C18R
2024 Oct 15 17:57
Sample #, Measurement
1, 1.640E-2
2, 1.510E-2
3, 6.698E-3
4, 2.299E-3
5, -3.199E-3
6, -2.999E-3
7, -2.000E-3
8, -3.999E-4
9, 1.100E-3
10, 1.500E-3
11, 3.199E-3
12, 4.999E-3
13, 6.598E-3
14, 1.250E-2
15, 1.620E-2
16, 1.850E-2
17, 2.119E-2
18, 2.169E-2
19, 2.020E-2
20, 2.059E-2
21, 2.279E-2
22, 2.479E-2
23, 2.319E-2
24, 2.020E-2
25, 1.730E-2
26, 1.310E-2
27, 1.600E-2
28, 1.780E-2
29, 1.520E-2
30, 1.300E-2
31, 1.310E-2
32, 1.520E-2
33, 1.510E-2
34, 1.570E-2
35, 1.820E-2
36, 1.560E-2
37, 1.540E-2
38, 1.590E-2
39, 2.129E-2
40, 2.319E-2
41, 2.579E-2
42, 2.929E-2
43, 2.559E-2
44, 2.079E-2
45, 1.450E-2
46, 1.190E-2
47, 5.999E-3
48, 3.699E-3
49, 4.399E-3
50, 5.799E-3
51, 1.100E-3
52, -2.799E-3
53, -1.020E-2
54, -9.498E-3
55, -8.598E-3
56, -7.498E-3
57, -8.498E-3
58, -6.898E-3
59, -2.099E-3
60, 2.699E-3
61, 4.199E-3
62, 1.110E-2
63, 2.050E-2
64, 2.349E-2
65, 2.119E-2
66, 1.810E-2
67, 1.860E-2
68, 1.840E-2
69, 2.069E-2
70, 2.179E-2
71, 2.329E-2
72, 2.179E-2
73, 2.299E-2
74, 2.369E-2
75, 2.119E-2
76, 2.099E-2
77, 2.189E-2
78, 1.750E-2
79, 1.510E-2
80, 1.570E-2
81, 1.840E-2
82, 1.710E-2
83, 1.250E-2
84, 9.498E-3
85, 9.898E-3
86, 1.190E-2
87, 1.400E-2
88, 1.160E-2
89, 5.599E-3
90, 1.140E-2
91, 1.330E-2
92, 7.198E-3
93, -3.999E-4
94, -7.998E-4
95, 2.999E-3
96, 8.298E-3
97, 1.190E-2
98, 1.710E-2
99, 1.410E-2
100, 1.210E-2
101, 1.240E-2
102, 1.490E-2
103, 1.480E-2
104, 1.440E-2
105, 1.300E-2
106, 1.040E-2
107, 5.099E-3
108, 3.999E-4
109, -2.299E-3
110, -3.599E-3
111, 4.099E-3
112, 9.498E-3
113, 1.280E-2
114, 6.998E-3
115, 4.899E-3
116, 2.399E-3
117, 2.599E-3
118, 2.000E-3
119, 4.499E-3
120, 4.699E-3
121, 2.299E-3
122, 1.500E-3
123, 1.030E-2
124, 1.370E-2
125, 1.420E-2
126, 7.398E-3
127, 5.499E-3
128, 4.999E-4
129, 2.000E-4
130, 4.099E-3
131, 7.998E-3
132, 7.798E-3
133, 6.498E-3
134, 1.800E-3
135, 1.200E-3
136, 9.998E-4
137, 1.900E-3
138, 6.698E-3
139, 9.098E-3
140, 8.098E-3
141, 5.399E-3
142, 4.499E-3
143, 6.099E-3
144, 8.598E-3
145, 9.598E-3
146, 1.140E-2
147, 1.800E-2
148, 2.109E-2
149, 2.509E-2
150, 2.569E-2
151, 2.329E-2
152, 1.620E-2
153, 1.030E-2
154, 9.898E-3
155, 1.110E-2
156, 1.590E-2
157, 1.890E-2
158, 1.840E-2
159, 1.420E-2
160, 9.998E-3
161, 8.298E-3
162, 1.200E-2
163, 1.410E-2
164, 1.480E-2
165, 1.270E-2
166, 1.290E-2
167, 1.490E-2
168, 1.600E-2
169, 1.590E-2
170, 1.220E-2
171, 1.570E-2
172, 1.540E-2
173, 1.030E-2
174, 1.240E-2
175, 1.170E-2
176, 7.098E-3
177, 2.199E-3
178, 1.700E-3
179, 3.299E-3
180, 1.270E-2
181, 1.740E-2
182, 1.800E-2
183, 9.898E-3
184, 5.799E-3
185, 7.298E-3
186, 1.370E-2
187, 1.560E-2
188, 1.870E-2
189, 1.640E-2
190, 1.510E-2
191, 1.330E-2
192, 1.200E-2
193, 1.130E-2
194, 9.298E-3
195, 9.398E-3
196, 1.080E-2
197, 1.780E-2
198, 2.239E-2
199, 2.409E-2
200, 1.810E-2
201, 1.110E-2
202, 9.098E-3
203, 9.698E-3
204, 5.999E-3
205, 1.400E-3
206, 0.000E+0
207, 5.599E-3
208, 5.399E-3
209, 6.898E-3
210, 7.798E-3
211, 6.298E-3
212, -4.999E-4
213, -4.999E-4
214, 1.300E-3
215, 4.599E-3
216, 6.298E-3
217, 8.298E-3
218, 5.399E-3
219, 2.599E-3
220, 2.199E-3
221, 5.199E-3
222, 7.598E-3
223, 1.060E-2
224, 1.200E-2
225, 8.798E-3
226, 5.899E-3
227, 3.399E-3
228, 3.399E-3
229, 6.099E-3
230, 9.598E-3
231, 1.280E-2
232, 1.330E-2
233, 1.510E-2
234, 1.630E-2
235, 2.000E-2
236, 2.309E-2
237, 1.870E-2
238, 1.420E-2
239, 8.298E-3
240, 7.498E-3
241, 7.598E-3
242, 7.398E-3
243, 4.999E-4
244, -3.799E-3
245, -6.298E-3
246, -2.799E-3
247, -1.200E-3
248, 1.400E-3
249, 6.698E-3
250, 7.398E-3
251, 6.498E-3
252, 6.998E-3
253, 7.198E-3
254, 4.399E-3
255, 4.999E-3
256, 6.298E-3
257, 5.199E-3
258, 2.499E-3
259, -1.900E-3
260, -6.698E-3
261, -3.799E-3
262, 0.000E+0
263, 5.499E-3
264, 3.899E-3
265, 3.499E-3
266, 6.498E-3
267, 9.098E-3
268, 7.398E-3
269, 3.699E-3
270, 4.199E-3
271, 5.999E-3
272, 1.010E-2
273, 1.310E-2
274, 1.390E-2
275, 1.380E-2
276, 1.280E-2
277, 1.150E-2
278, 7.498E-3
279, 6.698E-3
280, 6.099E-3
281, 6.698E-3
282, 6.998E-3
283, 5.999E-3
284, 1.400E-3
285, 3.399E-3
286, 5.299E-3
287, 7.098E-3
288, 2.699E-3
289, 1.700E-3
290, 2.199E-3
291, 4.699E-3
292, 1.050E-2
293, 1.150E-2
294, 1.170E-2
295, 1.260E-2
296, 1.720E-2
297, 1.680E-2
298, 1.440E-2
299, 9.498E-3
300, 7.998E-3
301, 8.898E-3
302, 1.090E-2
303, 1.440E-2
304, 1.860E-2
305, 1.810E-2
306, 1.840E-2
307, 1.750E-2
308, 1.630E-2
309, 1.540E-2
310, 1.530E-2
311, 1.470E-2
312, 1.170E-2
313, 9.898E-3
314, 9.598E-3
315, 9.098E-3
316, 1.140E-2
317, 1.290E-2
318, 1.290E-2
319, 1.310E-2
320, 1.200E-2
321, 1.080E-2
322, 1.170E-2
323, 1.280E-2
324, 1.120E-2
325, 1.020E-2
326, 1.020E-2
327, 1.190E-2
328, 1.690E-2
329, 1.980E-2
330, 2.129E-2
331, 2.169E-2
332, 2.010E-2
333, 1.920E-2
334, 1.690E-2
335, 1.360E-2
336, 8.798E-3
337, 7.498E-3
338, 3.799E-3
339, 1.300E-3
340, -5.999E-4
341, -5.999E-4
342, -1.400E-3
343, -1.900E-3
344, -1.400E-3
345, -2.999E-3
346, -6.698E-3
347, -9.198E-3
348, -1.680E-2
349, -2.030E-2
350, -1.940E-2
351, -1.950E-2
352, -2.079E-2
353, -2.089E-2
354, -2.030E-2
355, -2.119E-2
356, -2.159E-2
357, -1.880E-2
358, -1.760E-2
359, -1.550E-2
360, -1.220E-2
361, -1.120E-2
362, -9.098E-3
363, -6.698E-3
364, -3.299E-3
365, -2.000E-3
366, -5.999E-4
367, -9.998E-4
368, -2.799E-3
369, -3.199E-3
370, -1.200E-3
371, 3.999E-4
372, 8.998E-4
373, -3.899E-3
374, -6.099E-3
375, -6.798E-3
376, -5.599E-3
377, -5.799E-3
378, -6.298E-3
379, -3.899E-3
380, -2.999E-4
381, 8.998E-4
382, 1.500E-3
383, 2.699E-3
384, 6.998E-4
385, -2.000E-4
386, 2.999E-4
387, 6.998E-4
388, 0.000E+0
389, -7.998E-4
390, 0.000E+0
391, -2.000E-4
392, 1.600E-3
393, 2.999E-3
394, 2.899E-3
395, 2.899E-3
396, 7.098E-3
397, 9.598E-3
398, 1.090E-2
399, 1.110E-2
400, 1.390E-2
401, 1.310E-2
402, 9.398E-3
403, 7.398E-3
404, 3.399E-3
405, 1.100E-3
406, -3.999E-4
407, 0.000E+0
408, 2.699E-3
409, 3.599E-3
410, 3.799E-3
411, 3.799E-3
412, 2.399E-3
413, 7.998E-4
414, 9.998E-4
415, 5.999E-4
416, -2.099E-3
417, -2.999E-4
418, 2.999E-3
419, 4.099E-3
420, 8.798E-3
421, 9.598E-3
422, 9.998E-3
423, 1.110E-2
424, 1.460E-2
425, 1.420E-2
426, 1.280E-2
427, 1.200E-2
428, 1.080E-2
429, 1.090E-2
430, 1.020E-2
431, 9.898E-3
432, 8.898E-3
433, 7.398E-3
434, 5.199E-3
