1126C18R
2024 Oct 15 17:49
Sample #, Measurement
1, 3.689E+1
2, 3.689E+1
3, 3.689E+1
4, 3.689E+1
5, 3.689E+1
6, 3.689E+1
7, 3.689E+1
8, 3.689E+1
9, 3.689E+1
10, 3.689E+1
11, 3.689E+1
12, 3.689E+1
13, 3.689E+1
14, 3.689E+1
15, 3.689E+1
16, 3.689E+1
17, 3.689E+1
18, 3.689E+1
19, 3.689E+1
20, 3.689E+1
21, 3.689E+1
22, 3.689E+1
23, 3.699E+1
24, 3.699E+1
25, 3.689E+1
26, 3.689E+1
27, 3.699E+1
28, 3.689E+1
29, 3.689E+1
30, 3.689E+1
31, 3.689E+1
32, 3.689E+1
33, 3.689E+1
34, 3.689E+1
35, 3.689E+1
36, 3.689E+1
37, 3.689E+1
38, 3.689E+1
39, 3.689E+1
40, 3.689E+1
41, 3.689E+1
42, 3.689E+1
43, 3.689E+1
44, 3.689E+1
45, 3.689E+1
46, 3.689E+1
47, 3.689E+1
48, 3.689E+1
49, 3.689E+1
50, 3.689E+1
51, 3.689E+1
52, 3.689E+1
53, 3.689E+1
54, 3.689E+1
55, 3.689E+1
56, 3.689E+1
57, 3.689E+1
58, 3.689E+1
59, 3.689E+1
60, 3.689E+1
61, 3.689E+1
62, 3.689E+1
63, 3.689E+1
64, 3.689E+1
65, 3.699E+1
66, 3.689E+1
67, 3.689E+1
68, 3.689E+1
69, 3.699E+1
70, 3.689E+1
71, 3.689E+1
72, 3.689E+1
73, 3.689E+1
74, 3.699E+1
75, 3.689E+1
76, 3.689E+1
77, 3.689E+1
78, 3.689E+1
79, 3.689E+1
80, 3.689E+1
81, 3.689E+1
82, 3.689E+1
83, 3.689E+1
84, 3.689E+1
85, 3.699E+1
86, 3.689E+1
87, 3.699E+1
88, 3.689E+1
89, 3.699E+1
90, 3.689E+1
91, 3.689E+1
92, 3.699E+1
93, 3.689E+1
94, 3.689E+1
95, 3.689E+1
96, 3.689E+1
97, 3.689E+1
98, 3.689E+1
99, 3.689E+1
100, 3.689E+1
101, 3.689E+1
102, 3.689E+1
103, 3.689E+1
104, 3.689E+1
105, 3.689E+1
106, 3.689E+1
107, 3.689E+1
108, 3.689E+1
109, 3.689E+1
110, 3.689E+1
111, 3.689E+1
112, 3.689E+1
113, 3.689E+1
114, 3.689E+1
115, 3.689E+1
116, 3.689E+1
117, 3.689E+1
118, 3.699E+1
119, 3.689E+1
120, 3.689E+1
121, 3.689E+1
122, 3.689E+1
123, 3.699E+1
124, 3.689E+1
125, 3.689E+1
126, 3.689E+1
127, 3.689E+1
128, 3.689E+1
129, 3.689E+1
130, 3.689E+1
131, 3.689E+1
132, 3.689E+1
133, 3.689E+1
134, 3.689E+1
135, 3.689E+1
136, 3.689E+1
137, 3.689E+1
138, 3.689E+1
139, 3.699E+1
140, 3.689E+1
141, 3.689E+1
142, 3.689E+1
143, 3.689E+1
144, 3.689E+1
145, 3.689E+1
146, 3.689E+1
147, 3.689E+1
148, 3.689E+1
149, 3.689E+1
150, 3.689E+1
151, 3.689E+1
152, 3.689E+1
153, 3.689E+1
154, 3.689E+1
155, 3.689E+1
156, 3.689E+1
157, 3.689E+1
158, 3.689E+1
159, 3.689E+1
160, 3.689E+1
161, 3.689E+1
162, 3.689E+1
163, 3.699E+1
164, 3.699E+1
165, 3.689E+1
166, 3.699E+1
167, 3.699E+1
168, 3.689E+1
169, 3.689E+1
170, 3.699E+1
171, 3.689E+1
172, 3.689E+1
173, 3.689E+1
174, 3.689E+1
175, 3.689E+1
176, 3.689E+1
177, 3.689E+1
178, 3.689E+1
179, 3.689E+1
180, 3.689E+1
181, 3.689E+1
182, 3.699E+1
183, 3.689E+1
184, 3.689E+1
185, 3.689E+1
186, 3.699E+1
187, 3.699E+1
188, 3.699E+1
189, 3.689E+1
190, 3.689E+1
191, 3.689E+1
192, 3.689E+1
193, 3.689E+1
194, 3.689E+1
195, 3.689E+1
196, 3.689E+1
197, 3.689E+1
198, 3.689E+1
199, 3.689E+1
200, 3.689E+1
201, 3.689E+1
202, 3.689E+1
203, 3.689E+1
204, 3.689E+1
205, 3.689E+1
206, 3.689E+1
207, 3.689E+1
208, 3.689E+1
209, 3.689E+1
210, 3.689E+1
211, 3.689E+1
212, 3.689E+1
213, 3.689E+1
214, 3.689E+1
215, 3.689E+1
216, 3.689E+1
217, 3.689E+1
218, 3.699E+1
219, 3.689E+1
220, 3.689E+1
221, 3.689E+1
222, 3.689E+1
223, 3.689E+1
224, 3.689E+1
225, 3.689E+1
226, 3.689E+1
227, 3.689E+1
228, 3.699E+1
229, 3.699E+1
230, 3.689E+1
231, 3.689E+1
232, 3.689E+1
233, 3.689E+1
234, 3.699E+1
235, 3.689E+1
236, 3.699E+1
237, 3.689E+1
238, 3.699E+1
239, 3.699E+1
240, 3.699E+1
241, 3.689E+1
242, 3.699E+1
243, 3.689E+1
244, 3.699E+1
245, 3.689E+1
246, 3.689E+1
247, 3.699E+1
248, 3.689E+1
249, 3.689E+1
250, 3.689E+1
251, 3.689E+1
252, 3.689E+1
253, 3.689E+1
254, 3.689E+1
255, 3.689E+1
256, 3.689E+1
257, 3.689E+1
258, 3.689E+1
259, 3.689E+1
260, 3.689E+1
261, 3.689E+1
262, 3.699E+1
263, 3.689E+1
264, 3.689E+1
265, 3.699E+1
266, 3.699E+1
267, 3.689E+1
268, 3.689E+1
269, 3.689E+1
270, 3.689E+1
271, 3.689E+1
272, 3.689E+1
273, 3.699E+1
274, 3.689E+1
275, 3.689E+1
276, 3.689E+1
277, 3.689E+1
278, 3.689E+1
279, 3.689E+1
280, 3.689E+1
281, 3.689E+1
282, 3.689E+1
283, 3.689E+1
284, 3.689E+1
285, 3.689E+1
286, 3.689E+1
287, 3.689E+1
288, 3.689E+1
289, 3.689E+1
290, 3.689E+1
291, 3.689E+1
292, 3.689E+1
293, 3.689E+1
294, 3.689E+1
295, 3.689E+1
296, 3.689E+1
297, 3.689E+1
298, 3.689E+1
299, 3.689E+1
300, 3.689E+1
301, 3.689E+1
302, 3.689E+1
303, 3.689E+1
304, 3.689E+1
305, 3.689E+1
306, 3.689E+1
307, 3.689E+1
308, 3.689E+1
309, 3.689E+1
310, 3.689E+1
311, 3.689E+1
312, 3.689E+1
