rotor_step,raw_data,averaged,stdev
"[0, 0]","[ 0.01629604  0.01729579  0.01839553  0.01749575  0.01739577  0.01669594
  0.01699587  0.01739577  0.01819558  0.01959524  0.02189468  0.02579373
  0.02929288  0.03389176  0.03719096  0.04099003  0.04288957  0.04438921
  0.04458916  0.04628874  0.04498906  0.0439893   0.04079008  0.03919047
  0.03649113  0.03279202  0.02899295  0.02329434  0.01819558  0.01299684
  0.00729823  0.00049988 -0.00379908 -0.00839796 -0.01299684 -0.01839553
 -0.02309438 -0.02559378 -0.02789322 -0.02969278 -0.0320922  -0.03149234
 -0.03049259 -0.02989273 -0.02989273 -0.02649356 -0.02309438 -0.01909536]",0.01041829997120658,0.026348612500800287
"[500, 0]","[0.04188981 0.04069011 0.04218974 0.04258964 0.04238969 0.04218974
 0.04208976 0.04238969 0.04288957 0.04278959 0.04338945 0.04288957
 0.04258964 0.04258964 0.04168986 0.04158989 0.04158989 0.04228972
 0.04248967 0.04188981 0.04158989 0.04168986 0.04188981 0.04278959
 0.0435894  0.0435894  0.04298954 0.04308952 0.04238969 0.04228972
 0.04128996 0.04208976 0.04388933 0.04328947 0.04258964 0.04248967
 0.04338945 0.0431895  0.04438921 0.04338945 0.04278959 0.04288957
 0.04298954 0.04288957 0.04268962 0.04298954 0.04278959 0.04278959]",0.04257922829128802,0.0006999011637327115
"[1000, 0]","[0.04738848 0.0468886  0.04608879 0.04618877 0.04608879 0.04608879
 0.04608879 0.04698857 0.04628874 0.04548894 0.04718852 0.04698857
 0.04748845 0.04648869 0.04648869 0.04568889 0.04448918 0.04548894
 0.0468886  0.04638872 0.04638872 0.04618877 0.04618877 0.04638872
 0.04628874 0.04618877 0.04608879 0.04708855 0.04628874 0.04618877
 0.04638872 0.04638872 0.04638872 0.04498906 0.04518901 0.04618877
 0.04598882 0.04618877 0.04608879 0.04598882 0.04458916 0.04508904
 0.04578887 0.04588884 0.04658867 0.04608879 0.04608879 0.04608879]",0.04617627104744315,0.0006215480224705452
"[1500, 0]","[0.04498906 0.04598882 0.04498906 0.04368938 0.04478911 0.04468913
 0.04488908 0.04468913 0.04498906 0.04478911 0.04468913 0.0431895
 0.04348942 0.04458916 0.04458916 0.04468913 0.04548894 0.04628874
 0.04498906 0.04498906 0.04508904 0.04598882 0.04498906 0.0439893
 0.04378935 0.0439893  0.04488908 0.04498906 0.04488908 0.04488908
 0.04558891 0.04608879 0.04498906 0.04488908 0.04498906 0.04518901
 0.0439893  0.04378935 0.04498906 0.04498906 0.04508904 0.04498906
 0.04478911 0.0435894  0.04468913 0.04458916 0.0439893  0.04468913]",0.044768280970553555,0.0006523869840485101
"[2000, 0]","[0.0398903  0.03939042 0.03959037 0.04039018 0.0402902  0.03919047
 0.0390905  0.03929045 0.0394904  0.04009025 0.04009025 0.04009025
 0.04009025 0.03999028 0.03889054 0.0398903  0.0398903  0.03999028
 0.0398903  0.03889054 0.03809074 0.03749088 0.036991   0.03929045
 0.03999028 0.03859062 0.03919047 0.04059013 0.03939042 0.03819071
 0.03919047 0.03939042 0.03929045 0.0398903  0.0394904  0.04039018
 0.04109001 0.03969035 0.03889054 0.03809074 0.03829069 0.04009025
 0.03959037 0.03929045 0.03869059 0.03789078 0.03819071 0.03919047]",0.03935084810170034,0.000832649417906286
"[2500, 0]","[0.03049259 0.02849307 0.0295928  0.02929288 0.02929288 0.0295928
 0.03009268 0.03049259 0.02909292 0.0295928  0.03099246 0.03099246
 0.02989273 0.02909292 0.02869302 0.02869302 0.02889297 0.03039261
 0.03069254 0.03079251 0.03009268 0.02949283 0.02929288 0.02909292
 0.02979276 0.0283931  0.02899295 0.028793   0.02899295 0.02949283
 0.028793   0.03049259 0.0295928  0.02969278 0.0295928  0.0295928
 0.02899295 0.0283931  0.02889297 0.02999271 0.0295928  0.03009268
 0.02949283 0.02819314 0.02749331 0.0291929  0.03039261 0.02989273]",0.02949907665606588,0.0007584895429199746
"[3000, 0]","[0.01749575 0.01729579 0.01669594 0.01559621 0.01649599 0.01749575
 0.01799562 0.01739577 0.01699587 0.01589613 0.01599611 0.01729579
 0.01619606 0.01699587 0.01709584 0.01719582 0.01819558 0.01759572
 0.01649599 0.01569618 0.01569618 0.01659596 0.01609609 0.01699587
 0.01709584 0.01599611 0.01689589 0.0180956  0.01759572 0.01699587
 0.01709584 0.01649599 0.01659596 0.01699587 0.01639601 0.01699587
 0.01699587 0.01739577 0.01639601 0.01649599 0.01659596 0.01659596
 0.01729579 0.01749575 0.01689589 0.01619606 0.01629604 0.01609609]",0.016822992397161823,0.0006249282027662938
"[3500, 0]","[0.00359912 0.0036991  0.00379908 0.00439893 0.00339917 0.0036991
 0.0036991  0.00359912 0.00319922 0.00289929 0.00199951 0.00269934
 0.00299927 0.00319922 0.0036991  0.00439893 0.00399903 0.0036991
 0.00339917 0.00319922 0.00429895 0.00269934 0.00259937 0.00309925
 0.00259937 0.00249939 0.00199951 0.00229944 0.00249939 0.00389905
 0.00349915 0.00309925 0.00249939 0.00229944 0.00309925 0.00279932
 0.00349915 0.00429895 0.00439893 0.00269934 0.00309925 0.00339917
 0.00339917 0.00339917 0.00239942 0.00319922 0.00229944 0.0032992 ]",0.0032179674938864387,0.0006354738787294793
"[4000, 0]","[-0.0102975  -0.01099733 -0.00999757 -0.00929774 -0.00929774 -0.00999757
 -0.00959767 -0.00909779 -0.01079737 -0.01039747 -0.01099733 -0.00899781
 -0.00929774 -0.00829798 -0.00869789 -0.00909779 -0.00999757 -0.00979762
 -0.01119728 -0.00999757 -0.00919776 -0.00919776 -0.00829798 -0.00909779
 -0.00949769 -0.00939771 -0.00969764 -0.01119728 -0.01059742 -0.00969764
 -0.00869789 -0.00979762 -0.00909779 -0.00919776 -0.00949769 -0.00989759
 -0.01039747 -0.00899781 -0.00879786 -0.00919776 -0.01019752 -0.01009754
 -0.00939771 -0.00909779 -0.00889784 -0.00949769 -0.00949769 -0.00889784]",-0.00960808020317927,0.0007114097191806449
"[4500, 0]","[-0.02109487 -0.02089492 -0.02269448 -0.02169472 -0.02029506 -0.01959524
 -0.02099489 -0.01959524 -0.02069497 -0.0217947  -0.02209463 -0.02109487
 -0.02019509 -0.01899538 -0.01919533 -0.01969521 -0.01939528 -0.01989516
 -0.01989516 -0.02079494 -0.02189468 -0.02129482 -0.02029506 -0.02159475
 -0.02199465 -0.0213948  -0.01999514 -0.02009511 -0.02109487 -0.02059499
 -0.02159475 -0.02169472 -0.02019509 -0.02069497 -0.02029506 -0.01909536
 -0.01969521 -0.02049502 -0.02049502 -0.02039504 -0.01989516 -0.02049502
 -0.02119485 -0.02109487 -0.02049502 -0.01919533 -0.01879543 -0.02029506]",-0.020561666615928214,0.0008987004474067712
