rotor_step,raw_data,averaged,stdev
"[0, 0]","[ 0.06318463  0.06338459  0.06448432  0.06458429  0.06558405  0.06458429
  0.06438434  0.06438434  0.065784    0.06678376  0.06698371  0.06878328
  0.07088276  0.07088276  0.07148261  0.07208247  0.07138264  0.06778352
  0.06418439  0.05918561  0.05408685  0.0472885   0.04238969  0.03639115
  0.03019266  0.02189468  0.01369667  0.00579859 -0.00239942 -0.00649842
 -0.01309681 -0.01949526 -0.02379421 -0.02799319 -0.02929288 -0.03069254
 -0.03149234 -0.03189224 -0.03079251 -0.0291929  -0.02449404 -0.02039504
 -0.01589613 -0.01129725 -0.0036991   0.00239942  0.00989759  0.01749575]",0.02624778372895283,0.03952293839687827
"[500, 0]","[0.06878328 0.0686833  0.06778352 0.06768354 0.06888325 0.07018293
 0.07058284 0.07028291 0.06928315 0.06898323 0.06778352 0.0686833
 0.06788349 0.06858332 0.0686833  0.07008296 0.06878328 0.069883
 0.06918318 0.06928315 0.06898323 0.06878328 0.06878328 0.0690832
 0.06898323 0.0690832  0.06888325 0.06888325 0.06898323 0.06928315
 0.06918318 0.06888325 0.06918318 0.06928315 0.06918318 0.06898323
 0.06898323 0.06888325 0.06928315 0.06918318 0.07058284 0.06928315
 0.06938313 0.07048286 0.06938313 0.0690832  0.0694831  0.06938313]",0.06912069162353873,0.0006377527802057214
"[1000, 0]","[0.07298225 0.07288228 0.07308223 0.0731822  0.0727823  0.07458186
 0.07428194 0.07338215 0.0731822  0.07328218 0.07458186 0.07368208
 0.07368208 0.07358211 0.07388204 0.07368208 0.07388204 0.07488179
 0.07378206 0.07358211 0.07348213 0.07358211 0.07378206 0.07388204
 0.07358211 0.07488179 0.07388204 0.07378206 0.07408199 0.07388204
 0.07408199 0.07378206 0.07368208 0.07348213 0.07368208 0.07368208
 0.07348213 0.07368208 0.07358211 0.07498176 0.07408199 0.07398201
 0.07368208 0.07358211 0.07228243 0.07378206 0.07498176 0.07408199]",0.07375498193626602,0.0005429066864463086
"[1500, 0]","[0.07228243 0.0723824  0.07218245 0.0719825  0.07208247 0.07218245
 0.0719825  0.07228243 0.07208247 0.07218245 0.07208247 0.07228243
 0.0719825  0.07178254 0.0719825  0.07208247 0.07098274 0.07168257
 0.07208247 0.07308223 0.07348213 0.07228243 0.07228243 0.07218245
 0.0719825  0.0719825  0.07178254 0.07188252 0.07208247 0.0731822
 0.07208247 0.07218245 0.07218245 0.0719825  0.07228243 0.07208247
 0.07228243 0.07228243 0.07248238 0.07228243 0.0723824  0.07348213
 0.07248238 0.07248238 0.07128266 0.07218245 0.07228243 0.07218245]",0.07220119408642252,0.0004303298154003105
"[2000, 0]","[0.065784   0.06388447 0.06328461 0.06438434 0.06398444 0.06518415
 0.06518415 0.06518415 0.06388447 0.06408442 0.06498419 0.06478424
 0.06348456 0.06378449 0.06448432 0.06288471 0.06348456 0.06458429
 0.06418439 0.06418439 0.06408442 0.06428437 0.06418439 0.06448432
 0.06438434 0.06418439 0.06438434 0.06458429 0.06468427 0.06458429
 0.06448432 0.06448432 0.06438434 0.06418439 0.06418439 0.06568403
 0.06468427 0.06458429 0.06448432 0.06428437 0.06458429 0.06428437
 0.06338459 0.06448432 0.06458429 0.06458429 0.06438434 0.06458429]",0.06437184584016602,0.0005436288740314519
"[2500, 0]","[0.05148748 0.05128753 0.05078765 0.0509876  0.05048772 0.05118755
 0.05118755 0.05148748 0.05228728 0.05248724 0.05228728 0.0505877
 0.05208733 0.05218731 0.05208733 0.05208733 0.05108758 0.04998785
 0.05168743 0.05178741 0.05198736 0.05038775 0.05028777 0.0513875
 0.05158745 0.05158745 0.05148748 0.05078765 0.05028777 0.05048772
 0.05128753 0.05218731 0.05128753 0.05118755 0.05118755 0.05038775
 0.05108758 0.05118755 0.05108758 0.0513875  0.0513875  0.05108758
 0.05118755 0.05108758 0.05128753 0.05108758 0.05128753 0.05128753]",0.05128752812743187,0.0005804472093326083
"[3000, 0]","[0.03499149 0.03439164 0.03499149 0.03509147 0.03429166 0.03319193
 0.03419169 0.03399174 0.03449161 0.03349186 0.03549137 0.03469156
 0.03389176 0.03419169 0.03439164 0.03459159 0.03509147 0.03439164
 0.03509147 0.03449161 0.03399174 0.03489152 0.03359183 0.03379178
 0.03479154 0.03399174 0.03349186 0.03369181 0.03449161 0.03459159
 0.03459159 0.03459159 0.03439164 0.03449161 0.03449161 0.03389176
 0.03449161 0.03439164 0.03429166 0.03339188 0.03439164 0.03449161
 0.03439164 0.03439164 0.03449161 0.03499149 0.03359183 0.03449161]",0.03435414695801834,0.0004938538359734037
"[3500, 0]","[0.01549623 0.01629604 0.01529628 0.01569618 0.01629604 0.01669594
 0.01639601 0.01609609 0.01609609 0.01459645 0.01569618 0.01609609
 0.01509633 0.01569618 0.01539626 0.01589613 0.01539626 0.01639601
 0.01509633 0.01499635 0.01679592 0.01619606 0.01549623 0.01559621
 0.01619606 0.01659596 0.01499635 0.0151963  0.01539626 0.01699587
 0.01529628 0.0147964  0.01529628 0.01509633 0.01569618 0.01619606
 0.01609609 0.01639601 0.01629604 0.01739577 0.01689589 0.01579616
 0.0151963  0.01469643 0.01589613 0.01619606 0.01559621 0.0143965 ]",0.015779495995957404,0.0006629542974038501
"[4000, 0]","[-0.00219947 -0.00279932 -0.00299927 -0.00229944 -0.0032992  -0.00259937
 -0.00149964 -0.00249939 -0.00269934 -0.00229944 -0.00259937 -0.00079981
 -0.00199951 -0.00239942 -0.00159961 -0.00269934 -0.00219947 -0.00139966
 -0.00229944 -0.00309925 -0.00279932 -0.00289929 -0.00269934 -0.00219947
 -0.00209949 -0.00149964 -0.00059985 -0.00079981 -0.00229944 -0.00189954
 -0.00279932 -0.00199951 -0.00229944 -0.00279932 -0.00359912 -0.00299927
 -0.00279932 -0.00209949 -0.00149964 -0.00249939 -0.00159961 -0.00319922
 -0.00269934 -0.00199951 -0.00299927 -0.00189954 -0.00169959 -0.00179956]",-0.0022786125579538443,0.000653662601996625
"[4500, 0]","[-0.01739577 -0.01749575 -0.01819558 -0.01829555 -0.01739577 -0.0176957
 -0.01709584 -0.01839553 -0.01739577 -0.01779567 -0.01639601 -0.01649599
 -0.01689589 -0.01739577 -0.01759572 -0.01739577 -0.01679592 -0.01679592
 -0.01749575 -0.01859548 -0.0188954  -0.01859548 -0.01829555 -0.01739577
 -0.01679592 -0.01659596 -0.0176957  -0.01759572 -0.01689589 -0.01759572
 -0.01819558 -0.01709584 -0.01649599 -0.01729579 -0.01699587 -0.01829555
 -0.0180956  -0.01709584 -0.0176957  -0.01799562 -0.01879543 -0.01859548
 -0.01759572 -0.01759572 -0.01839553 -0.01829555 -0.01779567 -0.01819558]",-0.017622797982767224,0.0006478326118384107
