rotor_step,raw_data,averaged,stdev
"[0, 0]","[ 0.35091466  0.35091466  0.35091466  0.35091466  0.35091466  0.35091466
  0.35091466  0.35091466  0.35091466  0.35091466  0.35191441  0.35191441
  0.35191441  0.35091466  0.3379178   0.32792026  0.31292391  0.3009268
  0.28093168  0.2569375   0.2339431   0.20794943  0.18195575  0.15896134
  0.12466969  0.11907104  0.08787863  0.05708612  0.03009268  0.01179713
  0.00189954 -0.00159961  0.1455646   0.17115837  0.19765194  0.2216461
  0.24454053  0.26713505  0.28683025  0.30462593  0.3191224   0.33121946
  0.33871764  0.34241673  0.3458159   0.34351647  0.33991733  0.33551842]",0.2600513412859679,0.11062150225226206
"[500, 0]","[0.33891758 0.33891758 0.33891758 0.33891758 0.33891758 0.33891758
 0.33891758 0.33891758 0.33891758 0.33891758 0.33891758 0.33891758
 0.33991733 0.33891758 0.33991733 0.33991733 0.33991733 0.33991733
 0.33991733 0.33991733 0.33991733 0.33991733 0.33991733 0.33891758
 0.33991733 0.33991733 0.33991733 0.33991733 0.33991733 0.33991733
 0.33991733 0.33991733 0.33991733 0.33991733 0.33991733 0.33991733
 0.33991733 0.34091708 0.33991733 0.33991733 0.33991733 0.33991733
 0.33991733 0.33991733 0.33991733 0.33991733 0.33991733 0.33991733]",0.3396465666592121,0.0004889060517904316
"[1000, 0]","[0.35591343 0.35591343 0.35591343 0.35591343 0.35691321 0.36191198
 0.35591343 0.35591343 0.35591343 0.35591343 0.35591343 0.35591343
 0.35591343 0.35591343 0.35691321 0.35691321 0.35791296 0.35791296
 0.35691321 0.35791296 0.35791296 0.35691321 0.35691321 0.35691321
 0.35791296 0.35691321 0.35791296 0.35791296 0.35791296 0.35791296
 0.35791296 0.35791296 0.35791296 0.35691321 0.35791296 0.35791296
 0.35791296 0.35791296 0.35791296 0.35791296 0.35691321 0.35791296
 0.35791296 0.35691321 0.35691321 0.35791296 0.35791296 0.35791296]",0.35724645170072716,0.0010669312197312025
"[1500, 0]","[0.35291418 0.35391393 0.35191441 0.35291418 0.35291418 0.35291418
 0.35291418 0.35191441 0.35191441 0.35191441 0.35191441 0.35191441
 0.35291418 0.35191441 0.35191441 0.35191441 0.35191441 0.35191441
 0.35191441 0.35191441 0.35191441 0.35191441 0.35191441 0.35191441
 0.35191441 0.35191441 0.35291418 0.35191441 0.35191441 0.35191441
 0.35191441 0.35291418 0.35191441 0.35191441 0.35191441 0.35191441
 0.35191441 0.35291418 0.35291418 0.35191441 0.35191441 0.35191441
 0.35191441 0.35191441 0.35291418 0.35291418 0.35191441 0.35191441]",0.35220600726703805,0.0004981483753319633
"[2000, 0]","[0.32492098 0.32292145 0.32392123 0.32792026 0.32292145 0.32792026
 0.32792026 0.32692048 0.32692048 0.32692048 0.32592073 0.32592073
 0.32592073 0.32692048 0.32692048 0.32692048 0.32692048 0.32592073
 0.32592073 0.32592073 0.32592073 0.32592073 0.32592073 0.32592073
 0.32592073 0.32592073 0.32592073 0.32592073 0.32492098 0.32492098
 0.32592073 0.32592073 0.31992221 0.32492098 0.32492098 0.32492098
 0.32392123 0.32492098 0.32492098 0.32392123 0.32392123 0.32392123
 0.32392123 0.32492098 0.32492098 0.32392123 0.32392123 0.32492098]",0.3253792002797127,0.0014567838706293999
"[2500, 0]","[0.28093168 0.27893215 0.27793241 0.27893215 0.27793241 0.27893215
 0.27993193 0.28293118 0.28293118 0.28293118 0.27893215 0.28193143
 0.28193143 0.27493313 0.27593288 0.27693266 0.27993193 0.27993193
 0.27993193 0.27993193 0.27893215 0.27893215 0.27893215 0.27893215
 0.27893215 0.27893215 0.27993193 0.27993193 0.27893215 0.27893215
 0.27893215 0.27893215 0.27893215 0.27893215 0.27893215 0.27893215
 0.27893215 0.27893215 0.27893215 0.27893215 0.27893215 0.27993193
 0.27893215 0.27893215 0.27893215 0.27893215 0.27893215 0.27893215]",0.2792862392961979,0.001464363126914414
"[3000, 0]","[0.2105488  0.2101489  0.20984897 0.20944907 0.20904917 0.20624985
 0.20564999 0.20594992 0.20794943 0.20485018 0.20515011 0.20704965
 0.20674972 0.20694968 0.20654978 0.20644979 0.20644979 0.20634982
 0.20594992 0.20584995 0.20614988 0.20634982 0.20624985 0.20594992
 0.20604989 0.20584995 0.20555001 0.20505014 0.20545004 0.20525008
 0.20515011 0.20525008 0.20525008 0.20525008 0.20485018 0.20445028
 0.20465024 0.20475021 0.20445028 0.20465024 0.20495017 0.20485018
 0.20465024 0.20455025 0.20445028 0.20465024 0.20485018 0.20495017]",0.20599365762124458,0.0015295941938133829
"[3500, 0]","[0.14156558 0.14196548 0.14056581 0.13986599 0.13936611 0.13956606
 0.14016591 0.14076577 0.14056581 0.14096572 0.14086574 0.14166555
 0.14036587 0.14016591 0.14086574 0.14016591 0.14016591 0.14076577
 0.1402659  0.14006594 0.1389662  0.13986599 0.13936611 0.14116567
 0.14086574 0.13926613 0.14076577 0.14086574 0.1406658  0.14056581
 0.14076577 0.1402659  0.14036587 0.14036587 0.1402659  0.13986599
 0.14006594 0.14046584 0.1402659  0.1402659  0.14006594 0.13996597
 0.13986599 0.13946609 0.13946609 0.13956606 0.13986599 0.13986599]",0.1402950513487061,0.000620989193552092
"[4000, 0]","[0.07768111 0.07758114 0.07728121 0.07838094 0.07768111 0.07628145
 0.07658137 0.07678133 0.07638142 0.0760815  0.07628145 0.0756816
 0.07578157 0.07698128 0.07858089 0.07858089 0.07728121 0.07738119
 0.07778109 0.07718123 0.07628145 0.07708126 0.07528169 0.07558162
 0.07638142 0.0760815  0.07618147 0.0764814  0.07738119 0.07758114
 0.07728121 0.07738119 0.07728121 0.07718123 0.07728121 0.07718123
 0.07708126 0.07698128 0.07698128 0.07678133 0.0756816  0.07668135
 0.07668135 0.0768813  0.07678133 0.0764814  0.07638142 0.07638142]",0.07687297385806839,0.0007320665548913882
"[4500, 0]","[0.02269448 0.02389419 0.02419412 0.02389419 0.02459402 0.02399416
 0.02349429 0.02259451 0.02249453 0.02349429 0.02339431 0.02409414
 0.02339431 0.02299441 0.02359426 0.02379421 0.02259451 0.02319436
 0.02389419 0.02319436 0.02229458 0.02279446 0.02349429 0.0217947
 0.02229458 0.02229458 0.02259451 0.02259451 0.02379421 0.02249453
 0.02229458 0.02259451 0.02309438 0.02409414 0.02459402 0.02409414
 0.02349429 0.02239455 0.02259451 0.02279446 0.02289443 0.02209463
 0.02069497 0.02109487 0.02209463 0.02199465 0.02119485 0.02199465]",0.022959000314585865,0.0008868414020687574
