rotor_step,raw_data,averaged,stdev
"[21000, 0]","[ 0.20335054  0.20325057  0.20335054  0.20325057  0.2035505   0.20395041
  0.20335054  0.20405038  0.2105488   0.21924669  0.2327434   0.24783973
  0.26373586  0.28103167  0.29792756  0.3133238   0.32462105  0.33291903
  0.3376179   0.33791783  0.33541843  0.32961985  0.31972227  0.30852497
  0.29312873  0.27333352  0.25253859  0.2282445   0.20395041  0.17795673
  0.15306278  0.12766895 -0.03009268 -0.03149234 -0.02979276 -0.02449404
 -0.01539626 -0.00379908  0.01209706  0.02899295  0.04848821  0.07098274
  0.09517685  0.12167041  0.14916372  0.17415765  0.19985141  0.22364561]",0.18791471988273165,0.11279550183562657
"[21500, 0]","[0.14056581 0.14096572 0.1406658  0.14076577 0.14116567 0.1406658
 0.14046584 0.14086574 0.14056581 0.14046584 0.1402659  0.14046584
 0.1410657  0.1406658  0.14086574 0.1406658  0.14016591 0.14006594
 0.14016591 0.13966604 0.14136562 0.14136562 0.1410657  0.14086574
 0.14096572 0.14086574 0.1406658  0.1406658  0.14076577 0.14056581
 0.14076577 0.14086574 0.14076577 0.14096572 0.14046584 0.13866629
 0.13996597 0.14036587 0.14006594 0.13986599 0.14006594 0.13986599
 0.13966604 0.13986599 0.13986599 0.14006594 0.14006594 0.13946609]",0.14045959431678057,0.0005252302823433149
"[22000, 0]","[0.07698128 0.07718123 0.07738119 0.07668135 0.07668135 0.07768111
 0.07808101 0.07738119 0.07728121 0.07738119 0.07778109 0.07768111
 0.07748116 0.07638142 0.0768813  0.07758114 0.0768813  0.0768813
 0.07738119 0.07908077 0.07678133 0.07718123 0.07728121 0.07758114
 0.0768813  0.07588155 0.07578157 0.0768813  0.0764814  0.07778109
 0.07808101 0.07808101 0.07808101 0.07768111 0.07778109 0.07548165
 0.07588155 0.07748116 0.07758114 0.07728121 0.07738119 0.07738119
 0.07708126 0.07718123 0.07538167 0.07678133 0.07678133 0.07708126]",0.07716040421898167,0.000702194079744312
"[22500, 0]","[0.02459402 0.0250939  0.02479397 0.024694   0.02379421 0.02389419
 0.02519387 0.02519387 0.02439407 0.02379421 0.02369424 0.02369424
 0.02349429 0.02269448 0.02349429 0.02389419 0.02369424 0.02389419
 0.02519387 0.0250939  0.02429409 0.02389419 0.02359426 0.02359426
 0.02329434 0.02309438 0.02249453 0.02349429 0.02309438 0.02369424
 0.02439407 0.02349429 0.02349429 0.02359426 0.0221946  0.02249453
 0.02309438 0.02369424 0.02449404 0.02379421 0.02439407 0.02379421
 0.02389419 0.02339431 0.02339431 0.024694   0.02389419 0.02389419]",0.023852532923532028,0.0007077691071969503
"[23000, 0]","[-0.01249696 -0.01259694 -0.01279689 -0.01279689 -0.01279689 -0.01259694
 -0.01499635 -0.0151963  -0.01389662 -0.01319679 -0.01259694 -0.01319679
 -0.01339674 -0.01359669 -0.01319679 -0.01349672 -0.01369667 -0.01339674
 -0.01279689 -0.01209706 -0.01269691 -0.01349672 -0.01329677 -0.01279689
 -0.01299684 -0.01319679 -0.0114972  -0.01319679 -0.01369667 -0.01379665
 -0.01329677 -0.01279689 -0.01319679 -0.0139966  -0.01319679 -0.01409657
 -0.01389662 -0.01429652 -0.0143965  -0.01509633 -0.01349672 -0.01379665
 -0.01279689 -0.01349672 -0.01329677 -0.01349672 -0.01539626 -0.01359669]",-0.013398825093948593,0.0007634377777094055
"[23500, 0]","[-0.03129239 -0.03119241 -0.03119241 -0.02999271 -0.02969278 -0.0291929
 -0.03029263 -0.03089249 -0.02899295 -0.02909292 -0.03169229 -0.03099246
 -0.03029263 -0.03079251 -0.03049259 -0.03069254 -0.03139237 -0.03109244
 -0.02999271 -0.02989273 -0.03009268 -0.03009268 -0.03009268 -0.03079251
 -0.03159232 -0.03139237 -0.03029263 -0.03109244 -0.02979276 -0.03029263
 -0.02869302 -0.0295928  -0.02969278 -0.03019266 -0.03099246 -0.03079251
 -0.03019266 -0.02979276 -0.03019266 -0.03029263 -0.03019266 -0.03109244
 -0.03089249 -0.03079251 -0.02979276 -0.02899295 -0.03029263 -0.03169229]",-0.03039260934262226,0.0007363667606383721
"[24000, 0]","[-0.0254938  -0.02609365 -0.02619363 -0.02609365 -0.0250939  -0.02559378
 -0.02529385 -0.02599368 -0.0254938  -0.02399416 -0.02429409 -0.02369424
 -0.02539383 -0.02499392 -0.02659353 -0.02639358 -0.0254938  -0.02439407
 -0.0254938  -0.02649356 -0.02599368 -0.02559378 -0.02569375 -0.02519387
 -0.02339431 -0.02439407 -0.02579373 -0.02529385 -0.02519387 -0.02479397
 -0.02459402 -0.02409414 -0.02419412 -0.02499392 -0.02659353 -0.02689346
 -0.02529385 -0.02409414 -0.02459402 -0.02409414 -0.02399416 -0.02379421
 -0.02369424 -0.02479397 -0.02609365 -0.02489395 -0.02489395 -0.02429409]",-0.0251209744795536,0.0008798286098942403
"[24500, 0]","[0.00169959 0.00229944 0.00079981 0.00109973 0.00149964 0.00209949
 0.00149964 0.00159961 0.00179956 0.00259937 0.00229944 0.00159961
 0.00189954 0.00029993 0.00059985 0.00089978 0.00179956 0.00189954
 0.00289929 0.00279932 0.00179956 0.00199951 0.00279932 0.00219947
 0.00209949 0.00229944 0.00209949 0.00139966 0.00199951 0.00289929
 0.00239942 0.00279932 0.00229944 0.00099976 0.00269934 0.00319922
 0.00199951 0.00199951 0.00289929 0.00219947 0.00119971 0.00099976
 0.00209949 0.00239942 0.00269934 0.00319922 0.00229944 0.00169959]",0.001993265292791572,0.0006754238465121595
"[25000, 0]","[0.04738848 0.04698857 0.0476884  0.0472885  0.04738848 0.0468886
 0.04838823 0.04748845 0.04668865 0.04708855 0.04778838 0.0476884
 0.04678862 0.04758843 0.0472885  0.04838823 0.04828826 0.0476884
 0.0468886  0.04658867 0.0480883  0.04818828 0.04858818 0.04798833
 0.04848821 0.0472885  0.04748845 0.04828826 0.04738848 0.04738848
 0.0472885  0.04758843 0.04908806 0.04778838 0.04758843 0.0476884
 0.04898809 0.04878814 0.04778838 0.04788835 0.04858818 0.04878814
 0.04778838 0.04778838 0.04788835 0.04778838 0.04778838 0.04858818]",0.04776963273373743,0.0006025061935641398
"[25500, 0]","[0.10757384 0.10647411 0.10667406 0.10577428 0.10517442 0.10517442
 0.10587426 0.10627416 0.10517442 0.10587426 0.10627416 0.10657408
 0.10667406 0.10587426 0.10557432 0.10627416 0.10637413 0.10417467
 0.10587426 0.10577428 0.10607421 0.10477452 0.1048745  0.10737389
 0.10757384 0.10737389 0.10727391 0.10577428 0.10597423 0.10607421
 0.10767382 0.10767382 0.10657408 0.10627416 0.10597423 0.10617418
 0.10647411 0.10657408 0.10657408 0.10637413 0.10617418 0.10637413
 0.10637413 0.10627416 0.10647411 0.10647411 0.10677403 0.10697398]",0.10626790750150879,0.000746312277144928
