rotor_step,raw_data,averaged,stdev
"[0, 0]","[20.30506134 20.30506134 20.30506134 20.30506134 20.31505775 20.32505608
 20.3350544  20.40503693 21.07487297 21.84468651 23.01440239 24.38406944
 25.8137207  27.29336166 28.66302681 29.84274101 30.79250908 31.48234177
 31.89224243 31.9322319  31.68229294 31.13242722 30.29263115 29.14291191
 27.73325348 26.12364578 24.28409195 22.29457664 20.18508911 17.93563652
 15.70617962 13.45672703 11.27725697  9.17776775  7.23823929  5.50865984
  3.89905167  2.54937983  1.49963522  0.70982736  0.2499392   0.10997325
  0.2199465   0.73982006  1.51963031  2.58937025  3.92904425  5.51865768]",17.444506666312616,10.851683491162385
"[500, 0]","[-10.89734936  -6.19849253   1.69958663   8.79786015  14.39649868
  18.79542923  21.59474754  24.29409027  25.5937748   27.19338608
  27.99319077  28.29311752  29.09292412  29.39285088  29.89272881
  30.29263115  30.29263115  30.29263115  30.29263115  30.29263115
  30.29263115  30.29263115  30.29263115  30.29263115  30.29263115
  30.39260674  30.39260674  30.39260674  30.29263115  30.39260674
  30.39260674  30.29263115  30.39260674  30.29263115  30.39260674
  30.39260674  30.39260674  30.39260674  30.39260674  30.39260674
  30.39260674  30.39260674  30.39260674  30.39260674  30.39260674
  30.39260674  30.39260674  30.39260674]",26.49147256712119,9.30316746066733
"[1000, 0]","[31.79226685 31.79226685 31.79226685 31.79226685 31.79226685 31.79226685
 31.79226685 31.79226685 31.79226685 31.79226685 31.79226685 31.79226685
 31.79226685 31.89224243 31.89224243 31.89224243 31.89224243 31.89224243
 31.89224243 31.79226685 31.89224243 31.89224243 31.89224243 31.89224243
 31.89224243 31.89224243 31.89224243 31.89224243 31.89224243 31.89224243
 31.89224243 31.89224243 31.89224243 31.89224243 31.89224243 31.89224243
 31.89224243 31.89224243 31.89224243 31.89224243 31.89224243 31.89224243
 31.89224243 31.89224243 31.89224243 31.89224243 31.89224243 31.79226685]",31.861000061035156,0.04633992432351187
"[1500, 0]","[31.49234009 31.49234009 31.49234009 31.49234009 31.49234009 31.49234009
 31.49234009 31.49234009 31.49234009 31.49234009 31.3923645  31.3923645
 31.3923645  31.3923645  31.49234009 31.3923645  31.49234009 31.49234009
 31.49234009 31.49234009 31.49234009 31.3923645  31.3923645  31.3923645
 31.3923645  31.3923645  31.3923645  31.3923645  31.3923645  31.3923645
 31.3923645  31.3923645  31.49234009 31.3923645  31.49234009 31.3923645
 31.3923645  31.3923645  31.3923645  31.3923645  31.3923645  31.3923645
 31.3923645  31.3923645  31.3923645  31.3923645  31.3923645  31.3923645 ]",31.429855346679688,0.04840047242040824
"[2000, 0]","[29.39285088 28.89297295 29.29287529 29.29287529 29.29287529 29.29287529
 29.29287529 29.29287529 29.29287529 29.29287529 29.29287529 29.29287529
 29.1928997  29.29287529 29.1928997  29.1928997  29.1928997  29.1928997
 29.1928997  29.1928997  29.1928997  29.09292412 29.1928997  29.09292412
 29.09292412 29.09292412 29.09292412 29.09292412 29.09292412 29.1928997
 29.1928997  29.09292412 29.09292412 29.09292412 29.09292412 29.09292412
 29.09292412 29.09292412 29.09292412 29.09292412 29.09292412 29.09292412
 29.09292412 29.09292412 29.09292412 29.09292412 29.09292412 29.09292412]",29.163740158081055,0.09562864982076953
"[2500, 0]","[24.89394569 25.09389687 25.19387245 25.29384804 25.09389687 25.19387245
 24.99392128 25.09389687 24.89394569 24.99392128 25.29384804 25.29384804
 25.29384804 24.89394569 25.19387245 25.29384804 25.29384804 25.19387245
 25.19387245 25.19387245 25.19387245 25.19387245 25.19387245 25.19387245
 25.19387245 25.19387245 25.19387245 25.19387245 25.19387245 25.19387245
 25.09389687 25.19387245 25.09389687 25.09389687 25.09389687 25.09389687
 25.09389687 25.09389687 25.09389687 25.09389687 25.09389687 25.09389687
 25.09389687 25.09389687 25.09389687 25.09389687 25.09389687 25.09389687]",25.137636184692383,0.09767093279847064
"[3000, 0]","[20.58499336 20.57499504 20.55500031 20.55500031 20.52500725 20.54500198
 20.49501419 20.54500198 20.48501778 20.51500893 20.48501778 20.67497063
 20.66497231 20.65497589 20.63498116 20.62498283 20.61498451 20.59498978
 20.58499336 20.58499336 20.57499504 20.55500031 20.55500031 20.54500198
 20.54500198 20.54500198 20.53500557 20.51500893 20.51500893 20.51500893
 20.50501251 20.50501251 20.50501251 20.50501251 20.50501251 20.50501251
 20.49501419 20.49501419 20.49501419 20.48501778 20.48501778 20.47501945
 20.47501945 20.47501945 20.47501945 20.47501945 20.46502113 20.46502113]",20.535213112831116,0.05458712409718175
"[3500, 0]","[14.91637135 14.92636871 14.9463644  14.95636177 14.9463644  14.95636177
 14.9463644  14.96635914 14.96635914 14.96635914 14.95636177 14.96635914
 14.97635746 14.93636703 14.96635914 14.95636177 14.9463644  15.10632515
 14.93636703 15.07633305 15.06633472 15.05633736 15.03634262 15.03634262
 15.02634525 15.00634956 15.00634956 14.9963522  14.9963522  14.9963522
 14.9963522  14.97635746 14.96635914 14.96635914 14.95636177 14.95636177
 14.95636177 14.95636177 14.9463644  14.9463644  14.9463644  14.92636871
 14.92636871 14.92636871 14.91637135 14.91637135 14.91637135 14.91637135]",14.969900170962015,0.04421832910679805
"[4000, 0]","[9.51768494 9.5276823  9.51768494 9.5276823  9.55767536 9.55767536
 9.55767536 9.53767967 9.54767799 9.53767967 9.55767536 9.5276823
 9.56767273 9.5276823  9.54767799 9.53767967 9.51768494 9.56767273
 9.53767967 9.50768757 9.54767799 9.63765526 9.50768757 9.50768757
 9.60766315 9.59766579 9.47769451 9.5776701  9.56767273 9.56767273
 9.56767273 9.55767536 9.54767799 9.53767967 9.53767967 9.53767967
 9.5276823  9.5276823  9.5276823  9.5276823  9.51768494 9.5276823
 9.51768494 9.51768494 9.51768494 9.49768925 9.49768925 9.49768925]",9.538929680983225,0.029476278180021874
"[4500, 0]","[4.92880106 4.92880106 4.94879627 4.94879627 4.94879627 4.92880106
 4.92880106 4.92880106 4.94879627 4.92880106 4.93879843 4.93879843
 4.96879148 4.94879627 4.92880106 4.94879627 4.91880369 4.92880106
 4.93879843 4.93879843 4.92880106 4.92880106 4.94879627 4.93879843
 4.89880848 4.88881063 4.90880585 4.97878885 4.97878885 4.96879148
 4.90880585 4.88881063 4.94879627 4.94879627 4.85881805 4.87881327
 4.92880106 4.92880106 4.91880369 4.91880369 4.91880369 4.90880585
 4.90880585 4.89880848 4.89880848 4.89880848 4.88881063 4.88881063]",4.926509956518809,0.025589980639718846
