rotor_step,raw_data,averaged,stdev
"[0, 0]","[-0.02749331 -0.02749331 -0.02809317 -0.03009268 -0.03099246 -0.03039261
 -0.02929288 -0.028793   -0.0283931  -0.02779324 -0.028793   -0.02999271
 -0.02909292 -0.02849307 -0.02929288 -0.02949283 -0.028793   -0.02679348
 -0.02739334 -0.02729336 -0.02659353 -0.02659353 -0.02689346 -0.02739334
 -0.02629361 -0.02599368 -0.02629361 -0.02649356 -0.02609365 -0.02569375
 -0.02539383 -0.02699344 -0.0250939  -0.02359426 -0.02409414 -0.02309438
 -0.02359426 -0.02379421 -0.02419412 -0.02449404 -0.02539383 -0.02439407
 -0.02329434 -0.02529385 -0.02579373 -0.02569375 -0.02539383 -0.0258937 ]",-0.02675182791426778,0.002022483896934808
"[500, 0]","[-0.02539383 -0.02539383 -0.0250939  -0.02479397 -0.0258937  -0.02499392
 -0.02359426 -0.02419412 -0.02459402 -0.02569375 -0.02489395 -0.0250939
 -0.02559378 -0.02539383 -0.02519387 -0.02569375 -0.0254938  -0.02449404
 -0.024694   -0.02479397 -0.02479397 -0.02419412 -0.02369424 -0.02359426
 -0.02309438 -0.02369424 -0.02259451 -0.02289443 -0.02279446 -0.0217947
 -0.02279446 -0.02329434 -0.02309438 -0.02189468 -0.02159475 -0.02329434
 -0.02259451 -0.02239455 -0.02309438 -0.02319436 -0.02319436 -0.02319436
 -0.02079494 -0.0217947  -0.02169472 -0.02189468 -0.0217947  -0.02129482]",-0.02368798980023712,0.0013891174996258266
"[1000, 0]","[-0.02169472 -0.02169472 -0.0221946  -0.0217947  -0.02239455 -0.02229458
 -0.02189468 -0.0221946  -0.02249453 -0.02239455 -0.02289443 -0.02199465
 -0.02089492 -0.02199465 -0.02239455 -0.02209463 -0.02199465 -0.02209463
 -0.02279446 -0.0221946  -0.02209463 -0.02209463 -0.02109487 -0.02209463
 -0.02199465 -0.02129482 -0.0213948  -0.02149477 -0.02279446 -0.02329434
 -0.02209463 -0.02089492 -0.02079494 -0.02009511 -0.0217947  -0.0221946
 -0.02279446 -0.02349429 -0.02209463 -0.01979519 -0.01979519 -0.01959524
 -0.0213948  -0.0213948  -0.02149477 -0.02069497 -0.02169472 -0.02109487]",-0.021775954829839368,0.000842325248759881
"[1500, 0]","[-0.02229458 -0.02119485 -0.02269448 -0.02329434 -0.02319436 -0.02279446
 -0.02279446 -0.0221946  -0.02109487 -0.02069497 -0.0213948  -0.02239455
 -0.02239455 -0.02309438 -0.02249453 -0.02239455 -0.02239455 -0.02169472
 -0.02369424 -0.02349429 -0.02259451 -0.02329434 -0.02349429 -0.02389419
 -0.02339431 -0.02289443 -0.02359426 -0.02379421 -0.02359426 -0.02309438
 -0.0221946  -0.02209463 -0.0221946  -0.02279446 -0.0217947  -0.02269448
 -0.02279446 -0.02319436 -0.02309438 -0.02209463 -0.02159475 -0.0217947
 -0.02199465 -0.02209463 -0.02239455 -0.02289443 -0.02249453 -0.02189468]",-0.022571594609568518,0.0007375647069949378
"[2000, 0]","[-0.0250939  -0.02459402 -0.02249453 -0.02269448 -0.02289443 -0.02269448
 -0.02339431 -0.02419412 -0.02359426 -0.02309438 -0.02249453 -0.02339431
 -0.02269448 -0.02339431 -0.02289443 -0.02339431 -0.02339431 -0.02379421
 -0.02349429 -0.02489395 -0.02499392 -0.02409414 -0.02429409 -0.02539383
 -0.02459402 -0.02419412 -0.02409414 -0.02309438 -0.02269448 -0.02319436
 -0.02239455 -0.0217947  -0.02239455 -0.02289443 -0.02309438 -0.02529385
 -0.02499392 -0.02499392 -0.02569375 -0.024694   -0.02369424 -0.02279446
 -0.02389419 -0.02449404 -0.02389419 -0.02319436 -0.02379421 -0.02389419]",-0.02369007250914971,0.0009260033318267253
"[2500, 0]","[-0.0258937  -0.02729336 -0.02759329 -0.02719339 -0.02629361 -0.0258937
 -0.02569375 -0.02709341 -0.02659353 -0.02639358 -0.0258937  -0.0250939
 -0.02529385 -0.02539383 -0.02729336 -0.02769327 -0.02829312 -0.02819314
 -0.02939285 -0.0291929  -0.02699344 -0.02619363 -0.02569375 -0.02529385
 -0.02619363 -0.02649356 -0.02649356 -0.02789322 -0.02769327 -0.02779324
 -0.02789322 -0.0283931  -0.02709341 -0.02779324 -0.02759329 -0.02659353
 -0.02609365 -0.02529385 -0.02529385 -0.02679348 -0.02629361 -0.02729336
 -0.02749331 -0.02799319 -0.02689346 -0.02649356 -0.02569375 -0.02679348]",-0.02683722386912753,0.0010377558254344354
"[3000, 0]","[-0.0258937  -0.02809317 -0.02949283 -0.02909292 -0.02769327 -0.02759329
 -0.02909292 -0.02729336 -0.02489395 -0.02499392 -0.0254938  -0.02459402
 -0.02559378 -0.02679348 -0.0258937  -0.02659353 -0.02739334 -0.02629361
 -0.0250939  -0.02599368 -0.02579373 -0.024694   -0.02409414 -0.02389419
 -0.02329434 -0.02499392 -0.02669351 -0.02569375 -0.02409414 -0.02439407
 -0.02539383 -0.024694   -0.02529385 -0.02449404 -0.02409414 -0.02529385
 -0.02389419 -0.02319436 -0.02259451 -0.02359426 -0.024694   -0.02569375
 -0.0258937  -0.02529385 -0.02489395 -0.02489395 -0.02429409 -0.02559378]",-0.0255271258065477,0.0015273356598696644
"[3500, 0]","[-0.02579373 -0.02639358 -0.02709341 -0.02569375 -0.02639358 -0.02629361
 -0.02649356 -0.02579373 -0.02579373 -0.02569375 -0.02639358 -0.02629361
 -0.02599368 -0.02599368 -0.0258937  -0.0258937  -0.02599368 -0.0258937
 -0.0254938  -0.02439407 -0.02369424 -0.02439407 -0.02429409 -0.02419412
 -0.02259451 -0.02389419 -0.02449404 -0.02399416 -0.02319436 -0.02479397
 -0.02619363 -0.02659353 -0.02689346 -0.02689346 -0.02689346 -0.02689346
 -0.02719339 -0.02659353 -0.02569375 -0.02709341 -0.02749331 -0.02689346
 -0.02729336 -0.02929288 -0.028793   -0.02859305 -0.02859305 -0.02829312]",-0.02607074356637895,0.0014393026992948615
"[4000, 0]","[-0.02349429 -0.02419412 -0.02419412 -0.02529385 -0.02579373 -0.0254938
 -0.0254938  -0.02499392 -0.02439407 -0.02399416 -0.02329434 -0.02269448
 -0.02339431 -0.02339431 -0.02239455 -0.02249453 -0.02309438 -0.02419412
 -0.02579373 -0.02679348 -0.02669351 -0.02749331 -0.0291929  -0.02909292
 -0.02809317 -0.02709341 -0.024694   -0.02489395 -0.02419412 -0.02359426
 -0.02429409 -0.02389419 -0.02359426 -0.02389419 -0.02419412 -0.02429409
 -0.02419412 -0.02489395 -0.02769327 -0.02789322 -0.02609365 -0.02539383
 -0.02689346 -0.02789322 -0.02809317 -0.02769327 -0.02769327 -0.02619363]",-0.02530634601134807,0.0018112836016611269
"[4500, 0]","[-0.02409414 -0.02319436 -0.02259451 -0.02309438 -0.02209463 -0.02299441
 -0.02309438 -0.02259451 -0.02269448 -0.02339431 -0.02359426 -0.02309438
 -0.02249453 -0.02229458 -0.02149477 -0.02279446 -0.02279446 -0.0217947
 -0.02109487 -0.02199465 -0.02259451 -0.02299441 -0.02259451 -0.02349429
 -0.02259451 -0.0221946  -0.02129482 -0.0221946  -0.02189468 -0.02169472
 -0.02239455 -0.02309438 -0.02249453 -0.02289443 -0.02159475 -0.02239455
 -0.02299441 -0.02249453 -0.02289443 -0.02249453 -0.02259451 -0.02209463
 -0.02189468 -0.02169472 -0.02269448 -0.02459402 -0.02329434 -0.02259451]",-0.0225840916003411,0.0006781416820046188
