rotor_step,raw_data,averaged,stdev
"[0, 0]","[-0.03039261 -0.03189224 -0.03229215 -0.03179227 -0.03299198 -0.03099246
 -0.02969278 -0.03079251 -0.02999271 -0.03029263 -0.03089249 -0.03019266
 -0.02889297 -0.02799319 -0.02809317 -0.02869302 -0.02869302 -0.02929288
 -0.028793   -0.02979276 -0.03049259 -0.02989273 -0.03159232 -0.03089249
 -0.03089249 -0.03059256 -0.02889297 -0.02709341 -0.02689346 -0.02709341
 -0.0283931  -0.03039261 -0.03109244 -0.03199222 -0.03179227 -0.03139237
 -0.02989273 -0.028793   -0.02899295 -0.02909292 -0.03109244 -0.03239212
 -0.032892   -0.03329191 -0.03239212 -0.03169229 -0.03279202 -0.0320922 ]",-0.030359283826934796,0.0016305963621779042
"[500, 0]","[-0.01289686 -0.0139966  -0.0139966  -0.0139966  -0.0151963  -0.01609609
 -0.01749575 -0.01779567 -0.01829555 -0.01899538 -0.01909536 -0.01919533
 -0.01929531 -0.01909536 -0.01709584 -0.01559621 -0.01419655 -0.01309681
 -0.01209706 -0.01349672 -0.01389662 -0.0139966  -0.01419655 -0.01409657
 -0.01339674 -0.01249696 -0.01259694 -0.01459645 -0.01549623 -0.01539626
 -0.01649599 -0.0176957  -0.01659596 -0.0151963  -0.01289686 -0.01139723
 -0.00989759 -0.01079737 -0.01209706 -0.01339674 -0.01289686 -0.01209706
 -0.01179713 -0.01299684 -0.01279689 -0.01199708 -0.01189711 -0.01119728]",-0.014486060594208539,0.0024761430044154555
"[1000, 0]","[-0.01289686 -0.01079737 -0.00989759 -0.0102975  -0.01159718 -0.01099733
 -0.00959767 -0.01079737 -0.01119728 -0.01299684 -0.01299684 -0.01169716
 -0.01179713 -0.01349672 -0.01369667 -0.01409657 -0.01409657 -0.01389662
 -0.0139966  -0.01449647 -0.01329677 -0.01239699 -0.01249696 -0.01199708
 -0.01159718 -0.01129725 -0.00969764 -0.00839796 -0.00759815 -0.00839796
 -0.00999757 -0.01059742 -0.00979762 -0.00939771 -0.00909779 -0.00849793
 -0.00889784 -0.01019752 -0.00969764 -0.00949769 -0.00839796 -0.00899781
 -0.00829798 -0.00799805 -0.00959767 -0.0114972  -0.0114972  -0.01249696]",-0.010978580336086452,0.0018967577613609992
"[1500, 0]","[-0.0147964  -0.01789565 -0.0213948  -0.02279446 -0.0217947  -0.02169472
 -0.0217947  -0.02159475 -0.02439407 -0.02459402 -0.02429409 -0.02499392
 -0.02599368 -0.02539383 -0.02379421 -0.02369424 -0.0221946  -0.02189468
 -0.0217947  -0.02259451 -0.02169472 -0.02249453 -0.02389419 -0.02309438
 -0.02379421 -0.02429409 -0.02479397 -0.02559378 -0.02529385 -0.02449404
 -0.02419412 -0.02369424 -0.02259451 -0.02309438 -0.02399416 -0.02659353
 -0.02789322 -0.0283931  -0.02939285 -0.02719339 -0.02699344 -0.02699344
 -0.02629361 -0.02639358 -0.0258937  -0.02489395 -0.02499392 -0.02539383]",-0.024035821785219014,0.002526474921613931
"[2000, 0]","[-0.01699587 -0.01629604 -0.01609609 -0.01649599 -0.01549623 -0.01619606
 -0.01459645 -0.01559621 -0.01639601 -0.01579616 -0.01619606 -0.01649599
 -0.01639601 -0.01629604 -0.01729579 -0.01629604 -0.01729579 -0.01649599
 -0.01629604 -0.01799562 -0.01909536 -0.01969521 -0.01989516 -0.0188954
 -0.01779567 -0.01709584 -0.01539626 -0.01389662 -0.01419655 -0.01569618
 -0.01659596 -0.01729579 -0.01749575 -0.01929531 -0.01859548 -0.01799562
 -0.0184955  -0.01799562 -0.01659596 -0.01459645 -0.0143965  -0.01299684
 -0.01269691 -0.01279689 -0.01239699 -0.01209706 -0.01059742 -0.01139723]",-0.016104416941137362,0.0021448060812364967
"[2500, 0]","[-0.01939528 -0.02009511 -0.01949526 -0.01969521 -0.02099489 -0.02129482
 -0.02089492 -0.0217947  -0.02129482 -0.02129482 -0.02189468 -0.02189468
 -0.02019509 -0.02049502 -0.02259451 -0.02379421 -0.02289443 -0.02249453
 -0.02279446 -0.02109487 -0.02189468 -0.02129482 -0.02119485 -0.01929531
 -0.01959524 -0.01919533 -0.01859548 -0.01839553 -0.01659596 -0.0147964
 -0.01389662 -0.01369667 -0.01369667 -0.01309681 -0.01249696 -0.01159718
 -0.01199708 -0.01259694 -0.01299684 -0.01299684 -0.01369667 -0.01369667
 -0.01299684 -0.01179713 -0.01239699 -0.01219703 -0.01129725 -0.01059742]",-0.01760405257421856,0.004146974706971085
"[3000, 0]","[-0.01609609 -0.01539626 -0.01539626 -0.01469643 -0.0143965  -0.01199708
 -0.01289686 -0.01249696 -0.01229701 -0.01279689 -0.01429652 -0.01459645
 -0.01509633 -0.01369667 -0.01359669 -0.01299684 -0.0139966  -0.01359669
 -0.01319679 -0.0143965  -0.01419655 -0.01369667 -0.01289686 -0.01349672
 -0.01239699 -0.01369667 -0.0143965  -0.0143965  -0.01489638 -0.01539626
 -0.01429652 -0.01429652 -0.01579616 -0.01739577 -0.01969521 -0.01909536
 -0.02059499 -0.02209463 -0.02229458 -0.0217947  -0.02229458 -0.02119485
 -0.02059499 -0.02109487 -0.02159475 -0.02229458 -0.02329434 -0.02379421]",-0.0162689604718859,0.003593840927711243
"[3500, 0]","[-0.01569618 -0.01649599 -0.01649599 -0.01709584 -0.01759572 -0.01709584
 -0.01729579 -0.01879543 -0.01939528 -0.02019509 -0.01929531 -0.01959524
 -0.01949526 -0.01949526 -0.0188954  -0.01929531 -0.02129482 -0.02169472
 -0.02269448 -0.02349429 -0.02359426 -0.02199465 -0.02119485 -0.01879543
 -0.01839553 -0.01839553 -0.01619606 -0.01369667 -0.0143965  -0.01489638
 -0.01469643 -0.01469643 -0.01559621 -0.01539626 -0.01539626 -0.01419655
 -0.01259694 -0.01429652 -0.01349672 -0.01369667 -0.01469643 -0.01459645
 -0.01559621 -0.01489638 -0.01409657 -0.01469643 -0.0147964  -0.01589613]",-0.01721456383044521,0.002874819454900951
"[4000, 0]","[-0.01709584 -0.01829555 -0.01839553 -0.01999514 -0.02099489 -0.02039504
 -0.01949526 -0.0180956  -0.01669594 -0.01689589 -0.01649599 -0.01579616
 -0.01579616 -0.01579616 -0.01549623 -0.01489638 -0.01739577 -0.01899538
 -0.02049502 -0.02169472 -0.02279446 -0.02409414 -0.02399416 -0.02609365
 -0.02489395 -0.02479397 -0.02399416 -0.02429409 -0.02399416 -0.02379421
 -0.02299441 -0.0221946  -0.01989516 -0.01709584 -0.01569618 -0.01579616
 -0.01419655 -0.01409657 -0.01419655 -0.01329677 -0.01209706 -0.01169716
 -0.01189711 -0.01199708 -0.01189711 -0.01339674 -0.01269691 -0.01319679]",-0.018131007556803524,0.004230917562515858
"[4500, 0]","[-0.01619606 -0.01689589 -0.01839553 -0.01839553 -0.01899538 -0.02019509
 -0.01969521 -0.01949526 -0.01949526 -0.01759572 -0.01729579 -0.01739577
 -0.01559621 -0.01509633 -0.01579616 -0.01549623 -0.01739577 -0.01709584
 -0.01719582 -0.0188954  -0.02109487 -0.02069497 -0.02019509 -0.01969521
 -0.02009511 -0.02009511 -0.01919533 -0.01939528 -0.01929531 -0.01789565
 -0.01709584 -0.01649599 -0.01749575 -0.01829555 -0.01799562 -0.01819558
 -0.01749575 -0.01509633 -0.01499635 -0.01619606 -0.01709584 -0.01719582
 -0.01789565 -0.01719582 -0.01629604 -0.01799562 -0.01859548 -0.01759572]",-0.017906062498999138,0.0015468310257642595
"[5000, 0]","[-0.02099489 -0.01959524 -0.01949526 -0.01879543 -0.01829555 -0.0184955
 -0.01899538 -0.01919533 -0.0184955  -0.01799562 -0.0184955  -0.01739577
 -0.01739577 -0.01669594 -0.01609609 -0.01469643 -0.01469643 -0.01379665
 -0.01229701 -0.01229701 -0.01219703 -0.01329677 -0.01299684 -0.01229701
 -0.01429652 -0.01509633 -0.0147964  -0.01429652 -0.01379665 -0.01309681
 -0.01239699 -0.01249696 -0.01199708 -0.01269691 -0.01239699 -0.01449647
 -0.01659596 -0.01649599 -0.01639601 -0.01459645 -0.01379665 -0.0147964
 -0.01629604 -0.01659596 -0.01779567 -0.01789565 -0.01739577 -0.01699587]",-0.01567743761309733,0.0024690196397864246
