rotor_step,raw_data,averaged,stdev
"[0, 0]","[-0.03409171 -0.03399174 -0.03459159 -0.03399174 -0.03409171 -0.03409171
 -0.03319193 -0.03399174 -0.03309195 -0.03399174 -0.03509147 -0.03399174
 -0.03389176 -0.03309195 -0.03389176 -0.03329191 -0.03369181 -0.03389176
 -0.03529142 -0.03469156 -0.03389176 -0.03399174 -0.03389176 -0.03389176
 -0.03399174 -0.03319193 -0.03329191 -0.03399174 -0.03519144 -0.03389176
 -0.03339188 -0.03399174 -0.03499149 -0.03399174 -0.03299198 -0.03409171
 -0.03399174 -0.03459159 -0.03399174 -0.03409171 -0.03409171 -0.03399174
 -0.03419169 -0.03419169 -0.03469156 -0.03429166 -0.03359183 -0.03399174]",-0.03400631481781602,0.0005166715132294524
"[1000, 0]","[-0.03419169 -0.03309195 -0.03419169 -0.03539139 -0.03419169 -0.03409171
 -0.03359183 -0.03419169 -0.03399174 -0.03399174 -0.03409171 -0.03409171
 -0.03349186 -0.03399174 -0.03409171 -0.03419169 -0.03319193 -0.03389176
 -0.03339188 -0.03379178 -0.03449161 -0.03539139 -0.03419169 -0.032892
 -0.03179227 -0.03369181 -0.03379178 -0.03379178 -0.03389176 -0.03469156
 -0.03519144 -0.03489152 -0.03419169 -0.03349186 -0.03319193 -0.03389176
 -0.03389176 -0.032892   -0.03519144 -0.03409171 -0.03339188 -0.03399174
 -0.03399174 -0.03469156 -0.03549137 -0.03399174 -0.03419169 -0.03339188]",-0.03399590061356624,0.0006890225684017439
"[2000, 0]","[-0.03409171 -0.03399174 -0.03409171 -0.03509147 -0.03489152 -0.03419169
 -0.03509147 -0.03489152 -0.03439164 -0.03429166 -0.03299198 -0.032892
 -0.0324921  -0.03409171 -0.03459159 -0.03479154 -0.03499149 -0.03479154
 -0.03529142 -0.03419169 -0.03329191 -0.03419169 -0.03349186 -0.03299198
 -0.03229215 -0.03319193 -0.03379178 -0.03429166 -0.03299198 -0.03389176
 -0.03529142 -0.03469156 -0.03409171 -0.03549137 -0.03489152 -0.03419169
 -0.03539139 -0.03419169 -0.03429166 -0.03419169 -0.03369181 -0.03319193
 -0.03399174 -0.03409171 -0.03469156 -0.03409171 -0.03399174 -0.03409171]",-0.03414794670728346,0.0007517336540269531
"[3000, 0]","[-0.03409171 -0.03419169 -0.03529142 -0.03419169 -0.03409171 -0.03359183
 -0.03309195 -0.03299198 -0.03409171 -0.03499149 -0.03419169 -0.03469156
 -0.03339188 -0.03409171 -0.03469156 -0.03489152 -0.03539139 -0.03439164
 -0.03429166 -0.03419169 -0.03429166 -0.03309195 -0.03329191 -0.03469156
 -0.03429166 -0.03359183 -0.03399174 -0.03399174 -0.03349186 -0.03389176
 -0.03389176 -0.03389176 -0.03389176 -0.03379178 -0.03379178 -0.03459159
 -0.03539139 -0.03459159 -0.03419169 -0.03419169 -0.03399174 -0.03349186
 -0.03389176 -0.03409171 -0.03399174 -0.03389176 -0.03459159 -0.03479154]",-0.03413336731803914,0.0005550802391954246
"[4000, 0]","[-0.0324921  -0.0324921  -0.03379178 -0.03389176 -0.03399174 -0.03389176
 -0.03389176 -0.03379178 -0.03449161 -0.03469156 -0.03389176 -0.03399174
 -0.03389176 -0.03409171 -0.03409171 -0.03389176 -0.03489152 -0.03409171
 -0.03399174 -0.032892   -0.03339188 -0.03479154 -0.03559135 -0.03559135
 -0.03419169 -0.032892   -0.03309195 -0.03389176 -0.03409171 -0.03389176
 -0.03339188 -0.03399174 -0.03419169 -0.03369181 -0.03349186 -0.03409171
 -0.03429166 -0.03359183 -0.03429166 -0.03419169 -0.03409171 -0.03409171
 -0.03399174 -0.03409171 -0.03419169 -0.03339188 -0.03399174 -0.03269205]",-0.033923001727089286,0.000623399223813987
"[5000, 0]","[-0.03319193 -0.03399174 -0.03329191 -0.03369181 -0.0324921  -0.03279202
 -0.03449161 -0.03499149 -0.03509147 -0.03479154 -0.03469156 -0.03419169
 -0.03349186 -0.03399174 -0.03399174 -0.03389176 -0.03309195 -0.03399174
 -0.03449161 -0.03389176 -0.03409171 -0.03409171 -0.03329191 -0.03389176
 -0.03399174 -0.03529142 -0.03509147 -0.03549137 -0.03429166 -0.03369181
 -0.03429166 -0.03529142 -0.03439164 -0.03429166 -0.03269205 -0.03229215
 -0.03399174 -0.03489152 -0.03509147 -0.03489152 -0.03409171 -0.03359183
 -0.03399174 -0.03419169 -0.03409171 -0.03399174 -0.03409171 -0.03409171]",-0.03408337927733859,0.000721464610852793
"[6000, 0]","[-0.03409171 -0.03419169 -0.03309195 -0.03399174 -0.03519144 -0.03419169
 -0.03429166 -0.03519144 -0.03429166 -0.03499149 -0.03449161 -0.032892
 -0.0324921  -0.03409171 -0.03409171 -0.03419169 -0.03399174 -0.03409171
 -0.03399174 -0.03399174 -0.03409171 -0.03399174 -0.03399174 -0.03409171
 -0.03419169 -0.03569132 -0.03419169 -0.03409171 -0.03299198 -0.03349186
 -0.03329191 -0.03309195 -0.03309195 -0.03319193 -0.03389176 -0.03459159
 -0.03509147 -0.03459159 -0.03399174 -0.03419169 -0.03419169 -0.03469156
 -0.03369181 -0.03339188 -0.03399174 -0.03329191 -0.03279202 -0.03379178]",-0.03398965198236207,0.0006560578964035575
"[7000, 0]","[-0.03389176 -0.03389176 -0.03389176 -0.03389176 -0.03329191 -0.03379178
 -0.03389176 -0.03459159 -0.03389176 -0.03389176 -0.03539139 -0.03419169
 -0.03409171 -0.03399174 -0.03199222 -0.03379178 -0.03399174 -0.03549137
 -0.03519144 -0.03399174 -0.03349186 -0.03389176 -0.03409171 -0.03299198
 -0.03469156 -0.03339188 -0.03279202 -0.03399174 -0.03399174 -0.03509147
 -0.03299198 -0.032892   -0.03419169 -0.03419169 -0.03399174 -0.03469156
 -0.03489152 -0.03479154 -0.03499149 -0.03439164 -0.03509147 -0.03439164
 -0.03339188 -0.03419169 -0.03339188 -0.03409171 -0.03329191 -0.03189224]",-0.033983403661598764,0.000762166945446086
"[8000, 0]","[-0.03319193 -0.03459159 -0.03449161 -0.03399174 -0.03309195 -0.032892
 -0.03379178 -0.03469156 -0.03379178 -0.03399174 -0.03479154 -0.03529142
 -0.03509147 -0.03429166 -0.03359183 -0.03369181 -0.03499149 -0.03429166
 -0.03349186 -0.03359183 -0.03409171 -0.03469156 -0.03399174 -0.03409171
 -0.03399174 -0.032892   -0.03389176 -0.03409171 -0.03529142 -0.03409171
 -0.03469156 -0.03429166 -0.03389176 -0.03459159 -0.03479154 -0.03409171
 -0.03409171 -0.03419169 -0.03339188 -0.03479154 -0.03469156 -0.03359183
 -0.03419169 -0.03419169 -0.03549137 -0.03559135 -0.03439164 -0.03449161]",-0.03421251460288962,0.0006276606172910009
"[9000, 0]","[-0.032892   -0.03339188 -0.03419169 -0.03419169 -0.03479154 -0.03439164
 -0.03369181 -0.03409171 -0.03429166 -0.03319193 -0.03339188 -0.03479154
 -0.03419169 -0.03419169 -0.03429166 -0.03429166 -0.03409171 -0.03409171
 -0.03419169 -0.03359183 -0.03459159 -0.03419169 -0.03329191 -0.03419169
 -0.03469156 -0.03409171 -0.03339188 -0.03399174 -0.03419169 -0.03409171
 -0.03349186 -0.03329191 -0.03319193 -0.03369181 -0.03469156 -0.03489152
 -0.03409171 -0.03419169 -0.03539139 -0.03429166 -0.03419169 -0.03339188
 -0.03509147 -0.03419169 -0.03379178 -0.03429166 -0.03429166 -0.03419169]",-0.034075048208857574,0.0005212230558586564
"[10000, 0]","[-0.03429166 -0.03309195 -0.03299198 -0.03409171 -0.03479154 -0.03419169
 -0.03399174 -0.03419169 -0.03419169 -0.03519144 -0.03429166 -0.03379178
 -0.03419169 -0.03359183 -0.03429166 -0.03509147 -0.03339188 -0.03259207
 -0.03399174 -0.03389176 -0.03389176 -0.03339188 -0.03379178 -0.03329191
 -0.03399174 -0.0357913  -0.03409171 -0.032892   -0.03409171 -0.03409171
 -0.03299198 -0.03379178 -0.03529142 -0.03299198 -0.03319193 -0.03409171
 -0.03329191 -0.03309195 -0.03329191 -0.03309195 -0.03389176 -0.03559135
 -0.03469156 -0.03399174 -0.03329191 -0.03309195 -0.03449161 -0.03409171]",-0.03391050446468095,0.0007176514384647215
"[11000, 0]","[-0.03339188 -0.03399174 -0.03409171 -0.03389176 -0.03399174 -0.03469156
 -0.03459159 -0.03419169 -0.03409171 -0.03409171 -0.03279202 -0.03239212
 -0.03299198 -0.03389176 -0.03469156 -0.03399174 -0.03449161 -0.03309195
 -0.03329191 -0.03549137 -0.03529142 -0.03469156 -0.03409171 -0.03409171
 -0.03339188 -0.03319193 -0.03279202 -0.03299198 -0.03389176 -0.03469156
 -0.03329191 -0.03379178 -0.03409171 -0.03519144 -0.03439164 -0.03439164
 -0.03429166 -0.03439164 -0.03439164 -0.03329191 -0.03279202 -0.03279202
 -0.03299198 -0.03259207 -0.03439164 -0.03399174 -0.03389176 -0.03329191]",-0.03386468222985665,0.0007309007631383517
