rotor_step,raw_data,averaged,stdev
"[0, 0]","[0.03459159 0.03479154 0.03529142 0.03429166 0.03499149 0.03339188
 0.03319193 0.03339188 0.03349186 0.03269205 0.03379178 0.03459159
 0.03319193 0.03379178 0.03369181 0.03389176 0.03379178 0.03309195
 0.03379178 0.03509147 0.03459159 0.03469156 0.03409171 0.03419169
 0.03419169 0.03349186 0.03399174 0.03409171 0.03419169 0.03409171
 0.03409171 0.03399174 0.03399174 0.03269205 0.03379178 0.03449161
 0.03539139 0.03509147 0.03419169 0.03419169 0.03429166 0.03359183
 0.03419169 0.03419169 0.03429166 0.03409171 0.03329191 0.03409171]",0.03405005414970219,0.000605669679084379
"[500, 0]","[0.03399174 0.03349186 0.03389176 0.03339188 0.03469156 0.03399174
 0.03399174 0.03459159 0.03609122 0.03849064 0.04208976 0.04668865
 0.05178741 0.05618634 0.06088519 0.06498419 0.06848335 0.07128266
 0.07218245 0.07288228 0.07298225 0.07308223 0.07228243 0.07068281
 0.07028291 0.06928315 0.06858332 0.06788349 0.06968305 0.06938313
 0.0686833  0.06758357 0.06738362 0.06698371 0.06858332 0.0686833
 0.06798347 0.06678376 0.06708369 0.06738362 0.06588398 0.06688374
 0.06788349 0.06878328 0.06858332 0.06788349 0.06758357 0.06798347]",0.059933343048517905,0.014254601194362395
"[1000, 0]","[0.06838337 0.06898323 0.06738362 0.06718367 0.06698371 0.06718367
 0.06818342 0.0686833  0.06898323 0.06998298 0.069883   0.0694831
 0.06818342 0.06838337 0.06818342 0.06808344 0.06818342 0.06818342
 0.06828339 0.06808344 0.06798347 0.06708369 0.06808344 0.06808344
 0.06798347 0.06778352 0.06798347 0.06928315 0.06998298 0.06928315
 0.06818342 0.06848335 0.0694831  0.06858332 0.06838337 0.06828339
 0.06738362 0.06638385 0.06698371 0.06788349 0.06918318 0.06808344
 0.06808344 0.06788349 0.0690832  0.06958308 0.06828339 0.06838337]",0.06831255555152893,0.0008065349683093851
"[1500, 0]","[0.06848335 0.06808344 0.06848335 0.06818342 0.06828339 0.06848335
 0.06848335 0.06848335 0.06738362 0.06838337 0.06938313 0.06858332
 0.06838337 0.06728364 0.06828339 0.06838337 0.06968305 0.06978303
 0.06848335 0.06828339 0.0686833  0.06848335 0.0686833  0.06858332
 0.06848335 0.06738362 0.06818342 0.06808344 0.06808344 0.06808344
 0.06838337 0.06838337 0.0727823  0.0727823  0.07258235 0.07268233
 0.07268233 0.07288228 0.07268233 0.07248238 0.07258235 0.07268233
 0.0727823  0.07288228 0.07298225 0.07428194 0.07308223 0.07428194]",0.06991424923762679,0.0022056256428198916
"[2000, 0]","[0.07438191 0.07308223 0.07308223 0.07328218 0.07308223 0.07328218
 0.07348213 0.07308223 0.07348213 0.07308223 0.07328218 0.0731822
 0.07328218 0.07338215 0.0731822  0.07338215 0.07348213 0.0731822
 0.07298225 0.07288228 0.07288228 0.07338215 0.07308223 0.07298225
 0.07298225 0.07308223 0.07328218 0.07458186 0.07328218 0.07328218
 0.0731822  0.07348213 0.07178254 0.07168257 0.07188252 0.0719825
 0.07178254 0.07168257 0.07178254 0.07188252 0.0719825  0.07208247
 0.07338215 0.07228243 0.0719825  0.07018293 0.07188252 0.07178254]",0.07281354488804936,0.000798021305820511
"[2500, 0]","[0.07178254 0.07168257 0.07168257 0.0719825  0.07208247 0.07188252
 0.07158259 0.07078279 0.07178254 0.0727823  0.07168257 0.07208247
 0.0719825  0.07168257 0.07188252 0.07188252 0.07168257 0.07158259
 0.07178254 0.07168257 0.07168257 0.07178254 0.07168257 0.07148261
 0.07158259 0.07148261 0.07148261 0.07148261 0.07138264 0.07148261
 0.07148261 0.07138264 0.06428437 0.06288471 0.06398444 0.06418439
 0.06438434 0.06418439 0.06568403 0.065784   0.06448432 0.06438434
 0.06428437 0.06458429 0.06458429 0.06428437 0.06338459 0.06438434]",0.06925191000724833,0.0034906389284540297
"[3000, 0]","[0.06448432 0.06418439 0.06418439 0.06418439 0.06398444 0.06328461
 0.06278473 0.06408442 0.06408442 0.06428437 0.06438434 0.06438434
 0.06428437 0.06418439 0.06418439 0.0653841  0.06428437 0.06218488
 0.06318463 0.06428437 0.06428437 0.06398444 0.06408442 0.06418439
 0.06518415 0.06438434 0.06428437 0.06308466 0.06398444 0.0624848
 0.06268476 0.06408442 0.05028777 0.04968792 0.05158745 0.05148748
 0.05008782 0.0513875  0.05008782 0.05118755 0.05118755 0.05128753
 0.05148748 0.05028777 0.05008782 0.04998785 0.04958794 0.04988787]",0.05951261140095691,0.006340833043255649
"[3500, 0]","[0.05158745 0.05238726 0.05108758 0.0509876  0.05028777 0.04948797
 0.04998785 0.05068767 0.0505877  0.05078765 0.05088763 0.05178741
 0.05088763 0.05078765 0.04968792 0.05068767 0.05068767 0.05088763
 0.05178741 0.05088763 0.05078765 0.05008782 0.05168743 0.05088763
 0.05088763 0.05078765 0.05078765 0.0509876  0.0509876  0.05178741
 0.05118755 0.05118755 0.03349186 0.03409171 0.03429166 0.03409171
 0.03429166 0.03499149 0.03399174 0.03409171 0.03469156 0.03459159
 0.03469156 0.03349186 0.03449161 0.03449161 0.03459159 0.03439164]",0.04536813482021292,0.007846550931913665
"[4000, 0]","[0.03319193 0.03339188 0.03359183 0.03419169 0.032892   0.03399174
 0.03409171 0.03409171 0.03499149 0.03489152 0.03429166 0.03439164
 0.03439164 0.03429166 0.03489152 0.03389176 0.03369181 0.03419169
 0.03569132 0.03439164 0.03359183 0.03429166 0.03419169 0.03309195
 0.03419169 0.03429166 0.03429166 0.03409171 0.03359183 0.03429166
 0.03409171 0.03489152 0.01589613 0.01739577 0.01599611 0.01609609
 0.01669594 0.01659596 0.01469643 0.01529628 0.01489638 0.01489638
 0.01569618 0.01549623 0.01499635 0.0151963  0.01589613 0.01589613]",0.027999441818489384,0.008700097344762191
"[4500, 0]","[ 0.01559621  0.01579616  0.01589613  0.0147964   0.01709584  0.01629604
  0.01559621  0.01529628  0.01449647  0.01529628  0.01629604  0.01579616
  0.01529628  0.01499635  0.01569618  0.01449647  0.01529628  0.01559621
  0.01559621  0.01689589  0.01639601  0.01719582  0.01659596  0.01739577
  0.01559621  0.01599611  0.01599611  0.01569618  0.01509633  0.01559621
  0.01529628  0.01579616 -0.00069983 -0.00229944 -0.0032992  -0.00359912
 -0.00229944 -0.00209949 -0.00259937 -0.00309925 -0.00259937 -0.00269934
 -0.00289929 -0.00119971 -0.00229944 -0.00319922 -0.0032992  -0.00209949]",0.0096768134329371,0.008653191730034468
